Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers	Initial execution	17,18632535	47757	
96,5698949	0,086608977	0,063252939	67244				
96,78782414	0,083953726	0,067125368	67284				
97,00155194	0,082924774	0,065306201	67328				
97,23517488	0,091988227	0,072771482	67376				
97,45810823	0,083585557	0,067517808	67417				
97,67884376	0,088118407	0,064423405	67457				
97,87656169	0,073525309	0,06026173	67493				
98,11575701	0,108071874	0,067041975	67538				
98,33104149	0,085458608	0,062410465	67579				
98,54396761	0,081047073	0,067165415	67627				
98,76237358	0,08316294	0,066136156	67671				
98,98736778	0,074066499	0,067168463	67715				
99,19984638	0,084851533	0,063118618	67751				
99,42558573	0,083500281	0,068228066	67791				
99,65616638	0,094475978	0,065132875	67832				
99,91436057	0,127070615	0,059236774	67869				
100,2038855	0,124935379	0,074624123	67910				
100,428048	0,093760189	0,06342502	67951				
100,6478213	0,084216186	0,068633284	67991				
100,8790462	0,090379523	0,074035509	68032				
101,0879326	0,077104556	0,063837873	68073				
101,3042393	0,087484341	0,064246087	68110				
101,5074814	0,074066738	0,062746909	68155				
101,7200217	0,077827655	0,062020489	68196				
101,9269766	0,077561703	0,063865872	68237				
102,1442369	0,079323806	0,072347689	68277				
102,3661017	0,078755621	0,071282854	68322				
102,5896783	0,090252309	0,065523831	68366				
102,8039672	0,078879799	0,067988674	68410				
103,0192741	0,080769203	0,063703335	68447				
103,2424293	0,092005832	0,06379914	68484				
103,4610403	0,085106106	0,067769139	68525				
103,6733109	0,083401785	0,064914526	68566				
103,8960967	0,08416139	0,071840016	68610				
104,1491189	0,112498093	0,065213071	68650				
104,3675227	0,083028614	0,067539062	68694				
104,5941087	0,085342657	0,064407164	68735				
104,81277	0,085950973	0,068035689	68776				
105,0352226	0,093458433	0,064706967	68816				
105,2440771	0,077129938	0,065673492	68856				
105,4550893	0,077127165	0,064242918	68904				
105,6683266	0,08527527	0,063199566	68948				
105,890179	0,091459833	0,063882205	68993				
106,1048574	0,076529339	0,066434206	69037				
106,3136246	0,080840851	0,058361044	69078				
106,5562854	0,109862761	0,065015182	69118				
106,7903285	0,088786923	0,066832986	69159				
107,0006429	0,078568624	0,064239207	69199				
107,2367091	0,082907326	0,068486815	69240				
	0,082767324	0,066457945				Initial execution	0,202147519
						Initial execution	0,15989567
						Initial execution	0,187053943
