Number of individuals;String cleaning time
716;8.950999472290277e-06
717;1.0971998563036323e-05
718;9.797000529943034e-06
719;1.0218001989414915e-05
720;9.481998858973384e-06
721;9.537001460557804e-06
722;1.0594998457236215e-05
723;9.629002306610346e-06
724;9.704002877697349e-06
725;1.038300251821056e-05
726;9.228002454619855e-06
727;9.849998605204746e-06
728;9.356997907161713e-06
729;9.450999641558155e-06
730;9.654999303165823e-06
731;9.330997272627428e-06
732;9.627001418266445e-06
733;1.0201001714449376e-05
734;9.968996891984716e-06
735;1.002899807645008e-05
736;9.841998689807951e-06
737;1.0075000318465754e-05
738;9.350998880108818e-06
739;1.0239000403089449e-05
740;2.4304998078150675e-05
741;2.0153998775640503e-05
742;1.9741000869544223e-05
743;1.9203998817829415e-05
744;1.7553000361658633e-05
745;1.786099892342463e-05
746;1.7158999980892986e-05
747;1.6152000171132386e-05
748;1.7639998986851424e-05
749;1.6841997421579435e-05
750;1.69950035342481e-05
751;1.647400131332688e-05
752;1.1583000741666183e-05
753;1.0300002031726763e-05
754;1.0020998161053285e-05
755;1.016799797071144e-05
756;1.595000139786862e-05
757;1.6915000742301345e-05
758;1.8308001017430797e-05
759;1.73740008904133e-05
760;1.07790001493413e-05
761;1.0471001587575302e-05
762;1.0163999832002446e-05
763;9.978000889532268e-06
764;1.5838999388506636e-05
765;1.0492000001249835e-05
766;1.1096999514847994e-05
767;9.682000381872058e-06
768;9.891002264339477e-06
769;9.805000445339829e-06
770;9.4559982244391e-06
771;1.680200148257427e-05
772;1.048500053002499e-05
773;9.311999747296795e-06
774;9.835999662755057e-06
775;9.593000868335366e-06
776;9.362000128021464e-06
777;1.681799767538905e-05
778;1.1948999599553645e-05
779;1.1853000614792109e-05
780;1.089899888029322e-05
781;1.1701999028446153e-05
782;1.0529998689889908e-05
783;1.0701998689910397e-05
784;9.923998732119799e-06
785;9.818002581596375e-06
786;1.0177001968258992e-05
787;9.262999810744077e-06
788;9.563002095092088e-06
789;1.0440002370160073e-05
790;1.0512998414924368e-05
791;9.818999387789518e-06
792;1.0945001122308895e-05
793;1.001499913400039e-05
794;9.924999176291749e-06
795;1.0048002877738327e-05
796;9.704999683890492e-06
797;1.0199000826105475e-05
798;1.0355000995332375e-05
799;2.0462000975385308e-05
800;1.780700040399097e-05
801;1.049999991664663e-05
802;8.73200042406097e-06
803;1.0155999916605651e-05
804;8.691000402905047e-06
805;1.0456999007146806e-05
806;8.907998562790453e-06
807;1.0106999980052933e-05
808;8.967999747255817e-06
809;1.0805000783875585e-05
810;8.533999789506197e-06
811;8.580002031521872e-06
812;8.74599936651066e-06
813;8.615999831818044e-06
814;8.834998880047351e-06
815;1.6435002180514857e-05
816;2.0020997908432037e-05
817;1.2525000784080476e-05
818;1.1624000762822106e-05
819;1.120999877457507e-05
820;9.810999472392723e-06
821;1.0288000339642167e-05
822;1.0230000043520704e-05
823;1.0077001206809655e-05
824;1.0775002010632306e-05
825;9.380000847158954e-06
826;1.0414998541818932e-05
827;9.870000212686136e-06
828;9.723000403027982e-06
829;1.0728999768616632e-05
830;1.8843998986994848e-05
831;1.2525000784080476e-05
832;1.0800999007187784e-05
833;1.095600237022154e-05
834;2.230199970654212e-05
835;1.424899892299436e-05
836;1.1386997357476503e-05
837;1.152700133388862e-05
838;1.2012002116534859e-05
839;1.1131000064779073e-05
840;1.1173000530106947e-05
841;1.0551000741543248e-05
842;1.0006999218603596e-05
843;1.0216001101071015e-05
844;1.0025996743934229e-05
845;1.0883999493671581e-05
846;9.515999408904463e-06
847;9.87599923973903e-06
848;9.16399949346669e-06
849;1.004899968393147e-05
850;9.267001587431878e-06
851;8.741000783629715e-06
852;1.0381998436059803e-05
853;9.223000233760104e-06
854;9.744002454681322e-06
855;1.0146999557036906e-05
856;9.762999980011955e-06
857;8.737999451113865e-06
858;9.642000804888085e-06
859;8.933002391131595e-06
860;1.1326999810989946e-05
861;1.1125001037726179e-05
862;8.902003173716366e-06
863;9.42399856285192e-06
864;9.624000085750595e-06
865;1.0137002391275018e-05
866;9.167997632175684e-06
867;9.89199907053262e-06
868;9.704999683890492e-06
869;8.89000148163177e-06
870;1.1831001756945625e-05
871;1.06250008684583e-05
872;1.0206997103523463e-05
873;8.793002052698284e-06
874;9.884999599307775e-06
875;1.0063999070553109e-05
876;9.240000508725643e-06
877;9.59699900704436e-06
878;1.0130002920050174e-05
879;1.0257997928420082e-05
880;9.370000043418258e-06
881;9.367002348881215e-06
882;9.488998330198228e-06
883;9.346000297227874e-06
884;9.405001037521288e-06
885;1.0154999472433701e-05
886;9.380997653352097e-06
887;1.065700053004548e-05
888;9.808998584048823e-06
889;9.745999705046415e-06
890;9.268998837796971e-06
891;1.1006999557139352e-05
892;9.674000466475263e-06
893;9.268998837796971e-06
894;9.739000233821571e-06
895;1.0424999345559627e-05
896;9.815998055273667e-06
897;9.243001841241494e-06
898;9.401999705005437e-06
899;9.809999028220773e-06
900;1.0345996997784823e-05
901;1.0495001333765686e-05
902;9.878000128082931e-06
903;9.628998668631539e-06
904;9.349998435936868e-06
905;8.858998626237735e-06
906;8.718001481611282e-06
907;8.977000106824562e-06
908;9.899002179736272e-06
909;9.690000297268853e-06
910;8.828999852994457e-06
911;8.996001270134002e-06
912;2.019899693550542e-05
913;1.1291002010693774e-05
914;1.0486997780390084e-05
915;9.521998435957357e-06
916;9.453000529902056e-06
917;1.016699752653949e-05
918;9.821000276133418e-06
919;8.86699854163453e-06
920;1.0062998626381159e-05
921;9.714000043459237e-06
922;9.31699833017774e-06
923;1.0702999134082347e-05
924;9.901999874273315e-06
925;9.961000614566728e-06
926;9.831001079874113e-06
927;9.3039998319e-06
928;9.601997589925304e-06
929;9.658000635681674e-06
930;9.577001037541777e-06
931;9.718001820147038e-06
932;9.133000276051462e-06
933;9.547999070491642e-06
934;9.881998266791925e-06
935;1.0256000678054988e-05
936;1.0059000487672165e-05
937;9.535000572213903e-06
938;1.0199997632298619e-05
939;9.511000826023519e-06
940;9.063998732017353e-06
941;1.0543997632339597e-05
942;9.65500294114463e-06
943;9.523999324301258e-06
944;9.155999578069896e-06
